Country,Date
Afghanistan,2019-12-31
Albania,2020-01-04
Algeria,2019-12-31
Andorra,2020-01-04
Angola,2020-01-04
Anguilla,2020-01-04
Antigua and Barbuda,2020-01-04
Argentina,2020-01-04
Armenia,2019-12-31
Aruba,2020-01-04
Australia,2019-12-31
Austria,2019-12-31
Azerbaijan,2019-12-31
Bahamas,2020-01-04
Bahrain,2019-12-31
Bangladesh,2020-01-04
Barbados,2020-01-04
Belarus,2019-12-31
Belgium,2019-12-31
Belize,2020-01-04
Benin,2020-01-04
Bermuda,2020-01-04
Bhutan,2020-01-04
Bolivia (Plurinational State of),2020-01-04
"Bonaire, Sint Eustatius and Saba",2020-02-04
Bosnia and Herzegovina,2020-01-04
Botswana,2020-01-04
Brazil,2019-12-31
British Virgin Islands,2020-01-04
Brunei Darussalam,2020-01-04
Bulgaria,2020-01-04
Burkina Faso,2020-01-04
Burundi,2020-01-04
Cabo Verde,2020-01-04
Cambodia,2019-12-31
Cameroon,2020-01-04
Canada,2019-12-31
Cayman Islands,2020-01-04
Central African Republic,2020-01-04
Chad,2020-01-04
Chile,2020-01-04
China,2019-12-31
Colombia,2020-01-04
Comoros,2020-05-01
Congo,2020-01-04
Costa Rica,2020-01-04
Côte d’Ivoire,2020-01-04
Croatia,2019-12-31
Cuba,2020-01-04
Curacao,2020-01-04
Cyprus,2020-01-04
Czechia,2019-12-31
Democratic Republic of the Congo,2020-01-04
Denmark,2019-12-31
Djibouti,2020-01-04
Dominica,2020-01-04
Dominican Republic,2019-12-31
Ecuador,2019-12-31
Egypt,2019-12-31
El Salvador,2020-01-04
Equatorial Guinea,2020-01-04
Eritrea,2020-01-04
Estonia,2019-12-31
Eswatini,2020-01-04
Ethiopia,2020-01-04
Falkland Islands (Malvinas),2020-04-04
Faroe Islands,2020-01-04
Fiji,2020-01-04
Finland,2019-12-31
France,2019-12-31
French Guiana,2020-03-07
French Polynesia,2020-01-04
Gabon,2020-01-04
Gambia,2020-01-04
Georgia,2019-12-31
Germany,2019-12-31
Ghana,2020-01-04
Gibraltar,2020-01-04
Greece,2019-12-31
Greenland,2020-01-04
Grenada,2020-01-04
Guadeloupe,2020-03-14
Guam,2020-01-04
Guatemala,2020-01-04
Guernsey,2020-01-04
Guinea,2020-01-04
Guinea-Bissau,2020-01-04
Guyana,2020-01-04
Haiti,2020-01-04
Holy See,2020-01-04
Honduras,2020-01-04
Hungary,2020-01-04
Iceland,2019-12-31
India,2019-12-31
Indonesia,2019-12-31
International conveyance (Diamond Princess),2019-12-31
Iran (Islamic Republic of),2019-12-31
Iraq,2019-12-31
Ireland,2019-12-31
Isle of Man,2020-01-04
Israel,2019-12-31
Italy,2019-12-31
Jamaica,2020-01-04
Japan,2019-12-31
Jersey,2020-01-04
Jordan,2020-01-04
Kazakhstan,2020-01-04
Kenya,2020-01-04
Kosovo[1],2020-01-04
Kuwait,2019-12-31
Kyrgyzstan,2020-01-04
Lao People's Democratic Republic,2020-01-04
Latvia,2020-01-04
Lebanon,2019-12-31
Liberia,2020-01-04
Libya,2020-01-04
Liechtenstein,2020-01-04
Lithuania,2019-12-31
Luxembourg,2019-12-31
Madagascar,2020-01-04
Malawi,2020-03-04
Malaysia,2019-12-31
Maldives,2020-01-04
Mali,2020-01-04
Malta,2020-01-04
Martinique,2020-03-07
Mauritania,2020-01-04
Mauritius,2020-01-04
Mayotte,2020-03-14
Mexico,2019-12-31
Monaco,2019-12-31
Mongolia,2020-01-04
Montenegro,2020-01-04
Montserrat,2020-02-04
Morocco,2020-01-04
Mozambique,2020-01-04
Myanmar,2020-01-04
Namibia,2020-01-04
Nepal,2019-12-31
Netherlands,2019-12-31
New Caledonia,2020-01-04
New Zealand,2019-12-31
Nicaragua,2020-01-04
Niger,2020-01-04
Nigeria,2019-12-31
North Macedonia,2019-12-31
Northern Mariana Islands (Commonwealth of the),2020-01-04
Norway,2019-12-31
"occupied Palestinian territory, including east Jerusalem",2020-01-04
Oman,2019-12-31
Pakistan,2019-12-31
Panama,2020-01-04
Papua New Guinea,2020-01-04
Paraguay,2020-01-04
Peru,2020-01-04
Philippines,2019-12-31
Poland,2020-01-04
Portugal,2020-01-04
Puerto Rico,2020-01-04
Qatar,2019-12-31
Republic of Korea,2019-12-31
Republic of Moldova,2020-01-04
Réunion,2020-03-13
Romania,2019-12-31
Russian Federation,2019-12-31
Rwanda,2020-01-04
Saint Barthélemy,2020-03-02
Saint Kitts and Nevis,2020-01-04
Saint Lucia,2020-01-04
Saint Martin,2020-03-02
Saint Pierre and Miquelon,2020-04-08
Saint Vincent and the Grenadines,2020-01-04
San Marino,2019-12-31
Sao Tome and Principe,2020-04-06
Saudi Arabia,2020-01-04
Senegal,2020-01-04
Serbia,2020-01-04
Seychelles,2020-01-04
Sierra Leone,2020-01-04
Singapore,2019-12-31
Sint Maarten,2020-01-04
Slovakia,2020-01-04
Slovenia,2020-01-04
Somalia,2020-01-04
South Africa,2020-01-04
South Sudan,2020-04-06
Spain,2019-12-31
Sri Lanka,2019-12-31
Sudan,2020-01-04
Suriname,2020-01-04
Sweden,2019-12-31
Switzerland,2019-12-31
Syrian Arab Republic,2020-01-04
Tajikistan,2020-05-01
Thailand,2019-12-31
The United Kingdom,2019-12-31
Timor-Leste,2020-01-04
Togo,2020-01-04
Trinidad and Tobago,2020-01-04
Tunisia,2020-01-04
Turkey,2020-01-04
Turks and Caicos Islands,2020-01-04
Uganda,2020-01-04
Ukraine,2020-01-04
United Arab Emirates,2019-12-31
United Republic of Tanzania,2020-01-04
United States of America,2019-12-31
United States Virgin Islands,2020-01-04
Uruguay,2020-01-04
Uzbekistan,2020-01-04
Venezuela (Bolivarian Republic of),2020-01-04
Viet Nam,2019-12-31
Yemen,2020-04-10
Zambia,2020-01-04
Zimbabwe,2020-01-04
Taiwan,2019-12-31
